name	term	lev	seq	value
"endoplasmic reticulum"	GO:0005783	2	isogroup10635	0.0252635343293832
"endoplasmic reticulum"	GO:0005783	2	isogroup11063	11.1401725854545
"endoplasmic reticulum"	GO:0005783	2	isogroup11342	-0.630746730901478
"endoplasmic reticulum"	GO:0005783	2	isogroup11923	-4.01971229420079
"endoplasmic reticulum"	GO:0005783	2	isogroup15273	-0.557352348665006
"endoplasmic reticulum"	GO:0005783	2	isogroup27044	-1.64902033284409
"endoplasmic reticulum"	GO:0005783	2	isogroup28872	-4.61601163457664
"endoplasmic reticulum"	GO:0005783	2	isogroup2891	-4.34200333646805
"endoplasmic reticulum"	GO:0005783	2	isogroup3133	-0.0139632191745136
"endoplasmic reticulum"	GO:0005783	2	isogroup32834	0.70098068929974
"endoplasmic reticulum"	GO:0005783	2	isogroup34479	-0.0854767895496025
"endoplasmic reticulum"	GO:0005783	2	isogroup4469	0.941781217304651
"endoplasmic reticulum"	GO:0005783	2	isogroup5023	0.390465363912114
"endoplasmic reticulum"	GO:0005783	2	isogroup5129	-0.365236038528224
"endoplasmic reticulum"	GO:0005783	2	isogroup5372	-0.0491108735297416
"endoplasmic reticulum"	GO:0005783	2	isogroup6004	-4.45227114615102
"endoplasmic reticulum"	GO:0005783	2	isogroup6415	2.5771542053552
"endoplasmic reticulum"	GO:0005783	2	isogroup6439	-0.516991382737473
"endoplasmic reticulum"	GO:0005783	2	isogroup7180	-1.99307175068958
"endoplasmic reticulum"	GO:0005783	2	isogroup7635	0.278075856715901
"endoplasmic reticulum"	GO:0005783	2	isogroup7978	1.62814997081219
"endoplasmic reticulum"	GO:0005783	2	isogroup8149	0.815874973305
"endoplasmic reticulum"	GO:0005783	2	isogroup8655	0.265049711775788
"endoplasmic reticulum"	GO:0005783	2	isogroup9349	-3.54545684993641
"endoplasmic reticulum"	GO:0005783	2	isogroup9741	1.3523945548209
"MCM complex"	GO:0042555	3	isogroup2927	-0.0214693139281508
"MCM complex"	GO:0042555	3	isogroup3852	2.01915453904368
"MCM complex"	GO:0042555	3	isogroup4509	1.55027261351822
"MCM complex"	GO:0042555	3	isogroup4777	0.405062486019574
"MCM complex"	GO:0042555	3	isogroup513	1.65386812731185
"MCM complex"	GO:0042555	3	isogroup5324	1.19976463824574
"MCM complex"	GO:0042555	3	isogroup5804	0.307065329288491
"microtubule associated complex"	GO:0005875	4	isogroup10098	-0.00127277926898728
"microtubule associated complex"	GO:0005875	4	isogroup10139	10.2966360573489
"microtubule associated complex"	GO:0005875	4	isogroup14894	1.99186767277894
"microtubule associated complex"	GO:0005875	4	isogroup1495	0.762010834252777
"microtubule associated complex"	GO:0005875	4	isogroup15072	-5.93543630777378
"microtubule associated complex"	GO:0005875	4	isogroup1509	1.19190400830047
